Address,Price,Sold Date,Agent Phone
"CASPARIS RD, Unincorporated (000), TN",N/A,2025-10-20,N/A
"3966 CASPARIS RD, Unincorporated (000), TN",N/A,2025-10-20,N/A
"1550 WHITE BARN WAY, Brentwood (086), TN","$21,000",2025-11-17,N/A
"3501 GROVE PARK DR, Unincorporated (000), TN",N/A,2025-10-23,N/A
"9704 TURNBRIDGE CT, Brentwood (086), TN","$144,000",2025-12-02,N/A
"6113 BELLE RIVE DR, Brentwood (086), TN","$26,000",2025-11-07,N/A
"1841 GREY POINTE DR, Brentwood (086), TN","$63,000",2025-11-17,N/A
"2957 STEWART CAMPBELL PT, Spring Hill (701), TN","$247,000",2025-11-14,N/A
"2978 POLO CLUB RD, Unincorporated (000), TN","$402,000",2025-10-31,N/A
"105 ALPINE CT, Franklin (263967), TN","$103,000",2025-10-22,N/A
"100 FAIRMONT DR, Franklin (263264), TN","$8,000",2025-10-31,N/A
"7744 SECOND FIDDLE WAY, Unincorporated (000), TN","$221,000",2025-10-20,N/A
"2052 HEMLOCK DR, Spring Hill (701), TN","$87,000",2025-10-27,N/A
"2988 AMERICUS DR, Thompson's Station (718), TN","$30,000",2025-10-17,N/A
"6855 MANOR DR, Unincorporated (000), TN",N/A,2025-11-05,N/A
"413 VERANDAH LN, Franklin (263967), TN","$301,000",2025-11-18,N/A
"118 BREVET DR, Franklin (263264), TN","$134,000",2025-10-14,N/A
"29 GOVERNORS WAY, Brentwood (086), TN","$165,000",2025-11-13,N/A
"7244 MURREL DR, Unincorporated (000), TN","$413,000",2025-11-05,N/A
"1411 WILLOWBROOKE CIR, Unincorporated (000), TN","$1,302,000",2025-12-09,N/A
"1014 DUNROBIN DR, Franklin (263967), TN","$714,000",2025-11-07,N/A
"803 SHADY GLEN CT, Unincorporated (000), TN","$348,000",2025-11-14,N/A
"520 CASTLEBURY CT, Franklin (263264), TN","$22,000",2025-10-31,N/A
"611 CATTAIL LN, Unincorporated (000), TN","$220,000",2025-12-08,N/A
"6060 LOOKAWAY CIR, Unincorporated (000), TN","$309,000",2025-12-19,N/A
"9910 ELLAND RD, Brentwood (086), TN","$4,000",2025-12-18,N/A
"4352 LITTLE TETON PASS (PVT), Unincorporated (000), TN",N/A,2025-10-14,N/A
