Address,Price,Sold Date,Agent Phone
"7117 SUNRISE CIR, Franklin (263264), TN","$7,117,000",2025-12-03,N/A
"2013 HEFLIN LN, Franklin (263264), TN","$39,000",2025-10-26,N/A
"7520 IVORYBILL LN, Unincorporated (000), TN","$12,000",2025-12-08,N/A
"4618 MAJESTIC MEADOWS DR, Unincorporated (000), TN","$838,000",2025-12-18,N/A
"323 DEEP CREEK DR, Spring Hill (701), TN","$157,000",2025-10-28,N/A
"1325 BUCKINGHAM CIR, Franklin (263264), TN","$158,000",2025-11-13,N/A
"7320 FAIRLAWN DR, Fairview (255), TN","$22,000",2025-10-28,N/A
"1411 PARKER PL, Brentwood (086), TN","$109,000",2025-11-21,N/A
"1422 MARRIMANS CT, Franklin (263967), TN","$387,000",2025-10-21,N/A
"1115 BRENTWOOD POINTE, Brentwood (086), TN","$1,115,000",2025-12-01,N/A
"125 E LAKE CT, Franklin (263264), TN","$12,000",2025-11-14,N/A
"2409 STURRY COVE DR, Thompson's Station (718), TN","$1,313,000",2025-11-05,N/A
"4001 POPLAR FARMS DR, Franklin (263967), TN","$26,000",2025-10-29,N/A
"204 ASH DR, Franklin (263264), TN","$25,000",2025-10-29,N/A
"2732 VILLAGE DR, Thompson's Station (718), TN","$513,000",2025-11-10,N/A
"215 ASH DR, Franklin (263264), TN","$23,000",2025-12-12,N/A
"208 TURNBROOK LN, Franklin (263264), TN","$1,002,000",2025-12-19,N/A
"820 WALDEN DR, Franklin (263264), TN","$92,000",2025-12-02,N/A
"1023 FITZROY CIR, Spring Hill (701), TN","$29,000",2025-11-21,N/A
"1112 BROOKSIDE DR, Unincorporated (000), TN","$90,000",2025-12-22,N/A
"106 GALLAGHER DR, Franklin (263264), TN","$265,000",2025-11-12,N/A
"427 VERANDAH LN, Franklin (263967), TN","$294,000",2025-10-28,N/A
"1946 HARPETH RIVER DR, Brentwood (086), TN","$59,000",2025-10-29,N/A
"9778 CONCORD RD, Brentwood (086), TN",N/A,2025-10-24,N/A
"1860 BRENTWOOD POINTE, Franklin (263264), TN","$1,860,000",2025-10-17,N/A
"625 MER ROUGE DR, Nolensville (535), TN","$127,000",2025-11-14,N/A
"912 GLASS ST, Franklin (263264), TN",PO3,2025-10-27,N/A
"3133 FRIARS BRIDGE PASS, Franklin (263967), TN","$311,000",2025-11-10,N/A
"2227 POTTER PLACE, Nolensville (535), TN","$43,000",2025-10-09,N/A
"220 OAK DR, Franklin (263264), TN","$3,000",2025-11-14,N/A
"301 CONNELLEY CT, Franklin (263967), TN","$301,000",2025-10-21,N/A
"1761 CHARITY DR, Brentwood (086), TN","$39,000",2025-11-25,N/A
"2725 OTTERHAM DR, Thompson's Station (718), TN","$130,000",2025-12-02,N/A
"1085 CALICO ST, Franklin (263967), TN","$2,118,000",2025-11-04,N/A
"463 DEWAR DR, Franklin (263967), TN","$301,000",2025-10-16,N/A
"BAHNE RD, Unincorporated (000), TN",N/A,2025-12-05,N/A
"7262 FAIRLAWN DR, Fairview (255), TN","$11,000",2025-10-16,N/A
"152 BROOKSBANK DR, Nolensville (535), TN","$27,000",2025-10-17,N/A
"4037 POPLAR FARMS DR, Franklin (263967), TN","$32,000",2025-11-20,N/A
"7253 HORN TAVERN RD, Fairview (255), TN",N/A,2025-11-20,N/A
"217 LAKE RIDGE CT, Unincorporated (000), TN","$210,000",2025-10-16,N/A
"SMITH RD, Unincorporated (000), TN",TR4,2025-10-31,N/A
"9001 HAGGARD PVT LN, Unincorporated (000), TN","$1,001,000",2025-11-12,N/A
"1765 EDINBORO WAY, Franklin (263264), TN","$203,000",2025-11-20,N/A
"6037 WHITMAN RD 303, Franklin (263967), TN",Unit 303,2025-12-08,N/A
"317 MEADOWGLADE LN, Franklin (263264), TN","$59,000",2025-11-13,N/A
"4409 BUCHANAN LN, Unincorporated (000), TN","$1,000",2025-12-05,N/A
"316 SWEETWATER CT, Brentwood (086), TN","$131,000",2025-12-19,N/A
"4080 CARTERS CREEK PK, Unincorporated (000), TN",N/A,2025-11-05,N/A
"6796 ARNO-ALLISONA RD, Unincorporated (000), TN","$1,000",2025-12-01,N/A
"121 DEEJAY DR, Franklin (263264), TN","$39,000",2025-11-14,N/A
"1112 INDIAN POINT DR, Brentwood (086), TN","$24,000",2025-10-27,N/A
"1042 SHADY STONE WAY, Franklin (263967), TN","$14,000",2025-10-08,N/A
"6085 CONGRESS DR, Franklin (263967), TN","$2,664,000",2025-11-25,N/A
"7043 KINDERHOOK RD, Unincorporated (000), TN","$820,000",2025-11-07,N/A
"1007 DORTCH LN, Nolensville (535), TN","$223,000",2025-10-24,N/A
"5002 HUNTMERE AVE, Franklin (263967), TN","$477,000",2025-10-28,N/A
"5030 MAXWELL LANDING DR, Nolensville (535), TN","$7,109,000",2025-10-30,N/A
"7356 SPENCER MILL RD, Unincorporated (000), TN",N/A,2025-10-23,N/A
"2100 RODERICK PL W, Franklin (263264), TN","$71,000",2025-10-30,N/A
"457 BUCKWOOD PVT AVE, Spring Hill (701), TN","$30,000",2025-12-11,N/A
"ROCKY FORK RD, Unincorporated (000), TN",TR1,2025-12-09,N/A
"2625 MCLEMORE RD, Unincorporated (000), TN",TR1,2025-12-02,N/A
"1407 HANSON DR, Franklin (263967), TN","$1,459,000",2025-10-31,N/A
"2817 KAYE DR, Spring Hill (701), TN","$31,000",2025-12-01,N/A
"1934 HARMONY RD, Spring Hill (701), TN","$252,000",2025-11-24,N/A
"1110 NATCHEZ RD, Unincorporated (000), TN",N/A,2025-12-17,N/A
"1000 PERKINS LN, Unincorporated (000), TN","$116,000",2025-12-17,N/A
"403 PREAKNESS DR, Spring Hill (701), TN","$34,000",2025-12-11,N/A
"200 HARRIS CT, Franklin (263264), TN","$41,000",2025-11-11,N/A
"929 HORNSBY DR, Franklin (263967), TN","$1,125,000",2025-10-13,N/A
"9003 WENLOCK LN, Franklin (263967), TN","$32,000",2025-10-09,N/A
"6324 KINGSBURY DR, Brentwood (086), TN","$75,000",2025-12-18,N/A
"2808 LAFAYETTE DR, Spring Hill (701), TN","$73,000",2025-10-23,N/A
"1213 PARK RUN DR, Franklin (263967), TN","$1,213,000",2025-10-27,N/A
"5014 KATHRYN AVE, Franklin (263967), TN","$2,247,000",2025-10-08,N/A
"7252 ARRINGTON RIDGE CT, Unincorporated (000), TN","$227,000",2025-10-24,N/A
"7128 NEILLS BRANCH DR, Unincorporated (000), TN","$318,000",2025-10-14,N/A
"910 WILSON PK, Brentwood (086), TN","$202,000",2025-10-24,N/A
"409 NATCHEZ ST, Franklin (263264), TN","$1,000",2025-10-16,N/A
"205 JENNETTE PL, Franklin (263264), TN","$52,000",2025-12-03,N/A
"106 HARDISON AVE, Franklin (263264), TN","$121,000",2025-10-24,N/A
"118 FRONT ST 204, Franklin (263967), TN","$1,447,000",2025-12-18,N/A
"7897 HORN TAVERN RD, Fairview (255), TN","$2,000",2025-11-04,N/A
"7443 ATWATER CIR, Fairview (255), TN",N/A,2025-10-28,N/A
"952 EDMONDSON PK, Brentwood (086), TN",N/A,2025-11-25,N/A
"1053 BRAYDEN DR, Fairview (255), TN","$57,000",2025-10-11,N/A
"513 MANSION DR, Brentwood (086), TN","$36,000",2025-11-12,N/A
"819 COUNTRYWOOD DR, Franklin (263264), TN","$1,036,000",2025-10-09,N/A
"5740 N LICK CREEK RD, Unincorporated (000), TN",N/A,2025-12-05,N/A
"804 FOUNDERS POINTE BLVD, Franklin (263967), TN","$306,000",2025-12-11,N/A
"131 CRESTWOOD LN, Spring Hill (701), TN","$37,000",2025-11-12,N/A
"7410 SLEEPY HOLLOW LN, Unincorporated (000), TN",TR2,2025-10-20,N/A
"4652 MAJESTIC MEADOWS DR, Unincorporated (000), TN","$1,131,000",2025-12-05,N/A
"438 S MARGIN ST, Franklin (263264), TN","$5,000",2025-10-16,N/A
"9710 CONCORD RD, Brentwood (086), TN",N/A,2025-10-07,N/A
"5720 NOLA PVT DR, Unincorporated (000), TN","$1,505,000",2025-12-16,N/A
"305 ANN CROCKETT CT, Unincorporated (000), TN","$420,000",2025-10-23,N/A
"951 EDMONDSON PK, Brentwood (086), TN",N/A,2025-11-13,N/A
"9325 ATHERTON DR, Brentwood (086), TN","$116,000",2025-11-13,N/A
"1304 WILSON PK, Brentwood (086), TN",N/A,2025-11-04,N/A
"4456 JACKSON HOLLOW RD, Unincorporated (000), TN",N/A,2025-11-12,N/A
"3141 TRISTAN DR, Franklin (263967), TN","$3,107,000",2025-10-27,N/A
"144 LUCINDA CT, Franklin (263264), TN","$8,000",2025-10-17,N/A
"1188 HUNTERS CHASE DR, Franklin (263264), TN","$28,000",2025-12-11,N/A
"1051 FITZROY CIR, Spring Hill (701), TN","$37,000",2025-10-24,N/A
"423 MEADOWCREST CIR, Franklin (263264), TN","$19,000",2025-10-15,N/A
"7293 ORRINSHIRE DR, Fairview (255), TN","$16,000",2025-12-08,N/A
"4507 GOSEY HILL RD, Unincorporated (000), TN",N/A,2025-10-30,N/A
"6625 LIONS CLUB RD, Unincorporated (000), TN","0018, 0020",2025-10-30,N/A
"6327 JOHNSON CHAPEL RD W, Brentwood (086), TN","$1,000",2025-10-27,N/A
"7318 HARLOW DR, Unincorporated (000), TN","$272,000",2025-11-03,N/A
"4676 MAJESTIC MEADOWS DR, Unincorporated (000), TN","$1,221,000",2025-10-17,N/A
"5090 MAIN ST, Spring Hill (701), TN",N/A,2025-11-25,N/A
"1095 WALLER RD, Brentwood (086), TN",N/A,2025-12-15,N/A
"4025 ADDIEFRANCES DR, Nolensville (535), TN","$84,000",2025-10-27,N/A
"341 STEPHENS VALLEY BLVD, Unincorporated (000), TN","$647,000",2025-10-30,N/A
"1100 W MAIN ST #F-7, Franklin (263264), TN",F-7,2025-12-05,N/A
"5930 PARHAM RD, Unincorporated (000), TN","$9,000",2025-10-17,N/A
"1030 CLIFTON ST, Franklin (263967), TN","$1,830,000",2025-10-24,N/A
"3348 SWEENEY HOLLOW RD, Unincorporated (000), TN","$1,000",2025-10-30,N/A
"1020 CEDARVIEW LN, Unincorporated (000), TN","$172,000",2025-10-15,N/A
"502 HERRINGBONE CT, Franklin (263264), TN","$19,000",2025-12-11,N/A
"508 HERRINGBONE CT, Franklin (263264), TN","$18,000",2025-12-11,N/A
"1902 W HARPETH RD, Unincorporated (000), TN",N/A,2025-10-09,N/A
"7303 DUG HILL RD, Unincorporated (000), TN",N/A,2025-10-10,N/A
"400 VERANDAH LN, Franklin (263967), TN","$277,000",2025-12-09,N/A
"5963 HUNT VALLEY DR, Spring Hill (701), TN","$230,000",2025-10-30,N/A
"620 WINNERS CIRCLE PLACE, Spring Hill (701), TN","$18,000",2025-12-01,N/A
"1717 OLD HILLSBORO RD, Unincorporated (000), TN","$2,000",2025-12-05,N/A
"504 BRENNAN LN, Franklin (263967), TN","$481,000",2025-12-11,N/A
"4076 PENFIELD DR, Franklin (263264), TN","$90,000",2025-11-12,N/A
"1515 WILSON PK, Brentwood (086), TN",N/A,2025-12-15,N/A
"1426 WILLOWBROOKE CIR, Unincorporated (000), TN","$1,212,000",2025-10-08,N/A
"221 MAPLE DR, Franklin (263264), TN","$3,000",2025-11-06,N/A
"HORTON HWY, Unincorporated (000), TN",N/A,2025-12-01,N/A
"9055 HEADWATERS DR, Franklin (263967), TN","$140,000",2025-12-03,N/A
"7218 HANWORTH ST, Fairview (255), TN","$12,000",2025-11-26,N/A
"1719 DRYDEN DR, Spring Hill (701), TN","$208,000",2025-11-13,N/A
"6736 PLEASANT GATE LN, Unincorporated (000), TN",N/A,2025-11-10,N/A
"9908 ELLAND RD, Brentwood (086), TN","$3,000",2025-10-27,N/A
"5108 WOODLAND HILLS DR, Brentwood (086), TN","$60,000",2025-11-20,N/A
"136 MADISON MILL DR, Nolensville (535), TN","$24,000",2025-12-01,N/A
"1840 SEDBERRY RD, Thompson's Station (718), TN",N/A,2025-12-02,N/A
"1695 HYNEMAN CT, Brentwood (086), TN",N/A,2025-11-17,N/A
"9407 DEWAAL RDG, Brentwood (086), TN",N/A,2025-11-17,N/A
"4676 HARPETH-PEYT RD, Unincorporated (000), TN",N/A,2025-11-19,N/A
"6017 MARTINGALE LN, Brentwood (086), TN","$14,000",2025-10-10,N/A
"490 DOWNS BLVD, Franklin (263264), TN","$13,000",2025-12-15,N/A
"3287 BLAZER RD, Unincorporated (000), TN",N/A,2025-11-03,N/A
"9625 DEER TRACK CT, Brentwood (086), TN","$87,000",2025-12-05,N/A
"226 FITZGERALD ST, Franklin (263967), TN","$1,387,000",2025-11-13,N/A
"1824 SEDBERRY RD, Thompson's Station (718), TN","$1,000",2025-10-24,N/A
"209 SPLENDOR RIDGE DR, Franklin (263264), TN",N/A,2025-10-24,N/A
"300 CONOGA DR, Nolensville (535), TN","$1,913,000",2025-10-22,N/A
"6028 LOOKAWAY CIR, Unincorporated (000), TN","$301,000",2025-10-30,N/A
"1421 BLUEGRASS RD, Nolensville (535), TN","$234,000",2025-10-24,N/A
"412 BENTON LN, Franklin (263264), TN","$54,000",2025-10-17,N/A
"6033 BETHANY BLVD, Unincorporated (000), TN","$27,000",2025-11-21,N/A
"8034 SOUTHVALE BLVD, Franklin (263967), TN","$10,000",2025-11-04,N/A
"2083 TOLLGATE BLVD, Thompson's Station (718), TN","$206,000",2025-11-03,N/A
"5037 POPLAR FARMS DR, Franklin (263967), TN","$38,000",2025-11-25,N/A
"1020 BEECH GROVE RD, Brentwood (086), TN","$23,000",2025-10-09,N/A
"1145 BRENTWOOD POINTE, Brentwood (086), TN","$1,145,000",2025-10-16,N/A
"337 STABLE RD, Unincorporated (000), TN","$159,000",2025-11-03,N/A
"3812 NEW HWY 96 W, Unincorporated (000), TN","$1,000",2025-11-21,N/A
"402 STAFFORD CLOSE, Franklin (263967), TN","$1,978,000",2025-12-04,N/A
"2812 KAYE DR, Spring Hill (701), TN","$22,000",2025-11-26,N/A
"1427 PARKER PL, Brentwood (086), TN","$117,000",2025-10-30,N/A
"1219 LEWISBURG PK, Unincorporated (000), TN",N/A,2025-12-12,N/A
"3024 CONAR ST, Franklin (263967), TN","$2,214,000",2025-12-11,N/A
"7203 BLUE RIDGE DR, Fairview (255), TN","$77,000",2025-12-04,N/A
"1252 ANNAPOLIS CIR, Spring Hill (701), TN","$113,000",2025-10-21,N/A
"837 NEWCOMB ST, Franklin (263967), TN","$744,000",2025-11-10,N/A
"7704 SECOND FIDDLE WAY, Unincorporated (000), TN","$148,000",2025-11-20,N/A
"304 ANN CROCKETT CT, Unincorporated (000), TN","$418,000",2025-10-28,N/A
"405 LAKE VALLEY DR, Unincorporated (000), TN","$703,000",2025-11-07,N/A
"8031 SOUTHVALE BLVD, Franklin (263967), TN","$36,000",2025-11-17,N/A
"350 DERBY LN, Unincorporated (000), TN","$138,000",2025-10-17,N/A
"759 FRENCH RIVER RD, Unincorporated (000), TN","$427,000",2025-12-05,N/A
"220 WILLIAMSBURG CIR, Brentwood (086), TN","$1,000",2025-10-20,N/A
"235 LANCELOT LN, Franklin (263264), TN","$24,000",2025-10-20,N/A
"3024 HARRAH DR, Spring Hill (701), TN","$67,000",2025-11-12,N/A
"106 TREEMONT LN, Franklin (263967), TN","$12,000",2025-11-14,N/A
"2644 CHURCHILL DR, Spring Hill (701), TN","$69,000",2025-10-31,N/A
"7151 BOLTON ST, Franklin (263967), TN","$2,570,000",2025-10-28,N/A
"939 CHAMPIONSHIP BLVD, Franklin (263967), TN","$2,739,000",2025-12-02,N/A
"7040 WENLOCK LN, Franklin (263967), TN","$98,000",2025-10-09,N/A
"6705 EUDAILEY-COVINGTON RD, Unincorporated (000), TN",N/A,2025-10-29,N/A
"8067 MOUNTAINTOP DR, Unincorporated (000), TN","$16,013",2025-11-26,N/A
"720 WILD TIMBER CT, Unincorporated (000), TN","$106,000",2025-12-04,N/A
"4020 HAVERSACK DR, Spring Hill (701), TN","$302,000",2025-12-01,N/A
"2931 AVENUE DOWNS DR, Thompson's Station (718), TN","$213,000",2025-10-30,N/A
"2903 STEWART CAMPBELL PT, Spring Hill (701), TN","$78,000",2025-10-16,N/A
"2012 OGLETHORPE DR, Franklin (263967), TN","$500,000",2025-10-16,N/A
"7125 BRANDON PARK CT, Unincorporated (000), TN","$136,000",2025-10-31,N/A
"118 COTTONWOOD DR, Unincorporated (000), TN","$289,000",2025-11-21,N/A
"6137 ST MARLO DR, Unincorporated (000), TN",N/A,2025-12-11,N/A
"5106 HERSCHEL SPEARS CIR, Brentwood (086), TN","$89,000",2025-11-24,N/A
"315 TERRI PARK WAY, Franklin (263967), TN",N/A,2025-10-16,N/A
"102 BATTLEFIELD DR, Franklin (263264), TN","$11,000",2025-10-30,N/A
"1636 MURFREESBORO RD, Franklin (263264), TN",N/A,2025-12-01,N/A
"3045 SAKARI CIR, Spring Hill (701), TN","$323,000",2025-11-17,N/A
"444 HERRINGBONE CT, Franklin (263264), TN","$25,000",2025-12-11,N/A
"4016 HEBRON TRACE PVT DR, Nolensville (535), TN",N/A,2025-12-19,N/A
"9431 TIMBER RIDGE CIR, Brentwood (086), TN","$89,000",2025-11-11,N/A
"8903 PALMER PVT WAY, Brentwood (086), TN",N/A,2025-11-10,N/A
"1132 BRENTWOOD POINTE, Brentwood (086), TN","$1,132,000",2025-12-04,N/A
"1001 LAGUNA DR, Franklin (263264), TN",N/A,2025-11-17,N/A
"329 S ROYAL OAKS BLVD #206, Franklin (263264), TN",N/A,2025-12-18,N/A
"205 EQUINE ST, Franklin (263967), TN","$49,000",2025-10-16,N/A
"1915 MONTGOMERY WAY, Franklin (263967), TN","$569,000",2025-10-23,N/A
"1027 CHAMPIONSHIP BLVD, Franklin (263967), TN","$2,734,000",2025-10-30,N/A
"127 FITZGERALD ST, Franklin (263967), TN",N/A,2025-10-21,N/A
"184 MARY ANN CIR, Spring Hill (701), TN","$16,000",2025-12-01,N/A
"3349 SWEENEY HOLLOW RD, Unincorporated (000), TN",N/A,2025-12-05,N/A
"119 ADDISON AVE, Franklin (263967), TN","$390,000",2025-12-15,N/A
"2304 LUCERNE LN, Unincorporated (000), TN","$116,000",2025-11-11,N/A
"105 RIDGEWOOD RD, Unincorporated (000), TN","$202,000",2025-11-19,N/A
"328 STARLING LN, Franklin (263967), TN","$347,000",2025-12-18,N/A
"313 FITZGERALD ST, Franklin (263967), TN","$1,400,000",2025-12-09,N/A
"125 WEMBLY CT, Franklin (263264), TN","$7,000",2025-10-14,N/A
"506 HERMITAGE DR, Franklin (000264), TN","$68,000",2025-10-14,N/A
"968 GLASS ST, Franklin (263264), TN",PT11,2025-12-16,N/A
"804 STONEBROOK BLVD, Nolensville (535), TN","$54,000",2025-11-10,N/A
"110 PEBBLECREEK RD, Franklin (263264), TN","$27,000",2025-12-02,N/A
"7017 BOONE TRAIL CIR, Brentwood (086), TN","$55,000",2025-11-25,N/A
"553 MIDWAY CIR, Brentwood (086), TN","$53,000",2025-10-21,N/A
"1011 MYRTLE LN, Spring Hill (701), TN","$270,000",2025-10-23,N/A
"7512 SUTCLIFF DR, Unincorporated (000), TN","$403,000",2025-11-26,N/A
"1059 MOUNTAIN VIEW PVT DR, Spring Hill (701), TN",N/A,2025-12-16,N/A
"373 BARONSWOOD DR, Nolensville (535), TN","$204,000",2025-11-13,N/A
"325 DEVONSHIRE DR, Franklin (263264), TN","$160,000",2025-11-04,N/A
"7636 NOLENSVILLE RD, Unincorporated (000), TN","$1,000",2025-10-28,N/A
"9479 CHESAPEAKE DR, Brentwood (086), TN","$36,000",2025-11-20,N/A
"196 AZALEA LN, Unincorporated (000), TN","$124,000",2025-12-18,N/A
"1515 KEYSTONE DR, Unincorporated (000), TN","$127,000",2025-11-05,N/A
"7098 ANNA PVT DR, Brentwood (086), TN","$2,000",2025-10-09,N/A
"417 SIMS LN, Franklin (263967), TN","$508,000",2025-12-15,N/A
"446 SAVANNAH WAY, Franklin (263967), TN","$635,000",2025-12-15,N/A
"104 AVOCET CT, Spring Hill (701), TN","$372,000",2025-10-28,N/A
"9727 CONCORD RD, Brentwood (086), TN","$1,000",2025-11-06,N/A
"9729 CONCORD RD, Brentwood (086), TN","$2,000",2025-11-06,N/A
"700 EASTVIEW DR, Franklin (263264), TN","$28,000",2025-10-30,N/A
"3843 MOBLEYS CUT RD, Unincorporated (000), TN",N/A,2025-10-30,N/A
"7091 ANNA PVT DR, Brentwood (086), TN","$7,000",2025-10-24,N/A
"1656 HEARTWOOD LN, Brentwood (086), TN","$50,000",2025-12-04,N/A
"2300 FAIRVIEW BLVD, Fairview (255), TN","$2,000",2025-11-18,N/A
"4021 LIONCREST LN, Thompson's Station (718), TN","$1,405,000",2025-11-06,N/A
"2005 RODERICK CIR, Franklin (263264), TN","$3,000",2025-10-27,N/A
"621 FLATHEAD ALLEY, Spring Hill (701), TN","$185,000",2025-11-19,N/A
"4013 FERNSHAW LN, Franklin (263967), TN","$458,000",2025-12-09,N/A
"621 MT HOPE ST, Franklin (263264), TN",PO1,2025-12-04,N/A
"951 GREEN ST, Franklin (263264), TN","$4,000",2025-12-04,N/A
"4855 BYRD LN, Unincorporated (000), TN","$1,000",2025-12-09,N/A
"1153 PIN OAK LN, Brentwood (086), TN","$515,000",2025-11-12,N/A
"452 BUCKWOOD PVT AVE, Spring Hill (701), TN","$46,000",2025-12-11,N/A
"1035 WATAUGA CT, Spring Hill (701), TN","$211,000",2025-11-03,N/A
"2079 BRAIDWOOD LN, Franklin (263967), TN","$332,000",2025-11-03,N/A
"7519 SOUTHWELL DR, Unincorporated (000), TN","$227,000",2025-10-24,N/A
"9508 EASTGATE CT, Unincorporated (000), TN","$44,000",2025-12-12,N/A
"1098 STONEBRIDGE PARK DR, Unincorporated (000), TN","$601,000",2025-12-15,N/A
"7408 MEADOW WOOD WAY, Fairview (255), TN","$20,000",2025-10-27,N/A
"5202 WILLIAMSBURG RD, Brentwood (086), TN","$11,000",2025-12-03,N/A
"607 QUARTERHORSE LN, Nolensville (535), TN","$146,000",2025-11-21,N/A
"2088 MORTON DR, Spring Hill (701), TN","$139,000",2025-12-18,N/A
"1091 MOUNTAIN VIEW PVT DR, Spring Hill (701), TN",N/A,2025-11-25,N/A
"2079 OLD HILLSBORO RD, Unincorporated (000), TN",N/A,2025-12-04,N/A
"5571 BIENVILLE ST, Nolensville (535), TN","$95,000",2025-10-31,N/A
"2197 MAYTOWN CIR, Thompson's Station (718), TN","$1,730,000",2025-12-03,N/A
"3120 HAWKS VIEW PVT LN, Unincorporated (000), TN","$4,000",2025-12-15,N/A
"6210 MEEKS RD, Unincorporated (000), TN",TR1,2025-11-26,N/A
"MEEKS RD, Unincorporated (000), TN",TOWER,2025-11-26,N/A
"3343 CHERRY JACK LN, Thompson's Station (718), TN","$76,000",2025-11-21,N/A
"7144 GRACIOUS DR, Franklin (263967), TN","$121,000",2025-12-10,N/A
"1011 MURFREESBORO RD #E-5, Franklin (263264), TN",E-5,2025-10-10,N/A
"6015 FOXBOROUGH SQ E, Brentwood (086), TN","$29,000",2025-11-14,N/A
"1063 MOUNTAIN VIEW PVT DR, Spring Hill (701), TN",N/A,2025-12-15,N/A
"1101 DOWNS BLVD #K-101, Franklin (263264), TN","$60,000",2025-12-01,N/A
"1101 DOWNS BLVD #147, Franklin (263264), TN","$147,000",2025-12-01,N/A
"3101 OGLETHORPE DR, Franklin (263967), TN","$653,000",2025-10-23,N/A
"8232 ASHBURY CT, Unincorporated (000), TN","$450,000",2025-12-12,N/A
"7770 SMITH RD, Unincorporated (000), TN",N/A,2025-11-14,N/A
"235 HEATHSTONE CIR, Franklin (263967), TN","$1,843,000",2025-10-09,N/A
"9322 DOUBLE RUN CT, Unincorporated (000), TN","$15,045",2025-12-04,N/A
"7523 FERNVALE SPRINGS PVT WAY, Fairview (255), TN",N/A,2025-12-05,N/A
"7469 SLEEPY HOLLOW RD, Unincorporated (000), TN","$1,000",2025-10-16,N/A
"7540 SUTCLIFF DR, Unincorporated (000), TN","$409,000",2025-12-16,N/A
"3619 MARTINS MILL RD, Thompson's Station (718), TN","$4,018,000",2025-11-19,N/A
"497 SADLER WAY, Franklin (263967), TN","$812,000",2025-12-10,N/A
"2821 LAFAYETTE DR, Spring Hill (701), TN","$24,000",2025-11-07,N/A
"3524 GROVE PARK DR, Unincorporated (000), TN","$110,000",2025-10-29,N/A
"2074 RILEY PARK DR, Thompson's Station (718), TN","$18,000",2025-12-04,N/A
"4592 SAWMILL PL, Nolensville (535), TN","$5,108,000",2025-11-13,N/A
"1011 GLESSNER DR, Spring Hill (701), TN","$17,000",2025-11-07,N/A
"100 COTTAGE LN, Franklin (263264), TN",N/A,2025-10-23,N/A
"604 FOXBOROUGH SQ W, Brentwood (086), TN","$604,000",2025-11-05,N/A
"7219 PRAIRIE FALCON DR, Unincorporated (000), TN","$205,000",2025-11-03,N/A
"9011 ADA WAY, Fairview (255), TN","$215,000",2025-12-05,N/A
"200 HEATHSTONE CIR, Franklin (263967), TN","$1,850,000",2025-10-15,N/A
"148 SALTON LN, Spring Hill (701), TN","$135,000",2025-11-13,N/A
"1016 SUNDOWN CIR, Unincorporated (000), TN","$110,000",2025-11-24,N/A
"1061 MOUNTAIN VIEW PVT DR, Spring Hill (701), TN",N/A,2025-12-15,N/A
"5005 PAINT CREEK CT, Spring Hill (701), TN",N/A,2025-10-10,N/A
"8225 WIKLE RD E, Brentwood (086), TN","$531,000",2025-12-08,N/A
"2916 BEULAH CHURCH RD, Unincorporated (000), TN",TR1,2025-10-15,N/A
"BEULAH CHURCH RD, Unincorporated (000), TN",TR3,2025-10-15,N/A
"3684 RONSTADT RD, Thompson's Station (718), TN","$5,029,000",2025-10-30,N/A
"5523 NOBLE KING RD, Unincorporated (000), TN",N/A,2025-12-11,N/A
"9214 HUNTERBORO DR, Brentwood (086), TN","$82,000",2025-10-08,N/A
"9405 THATCHBAY CT, Unincorporated (000), TN","$13,034",2025-11-13,N/A
"NORTHWEST HWY, Unincorporated (000), TN",N/A,2025-12-03,N/A
"7240 NORTHWEST HWY, Unincorporated (000), TN",N/A,2025-12-03,N/A
"7250 NORTHWEST HWY, Unincorporated (000), TN",N/A,2025-12-03,N/A
"1576 CHAMPIONSHIP BLVD, Franklin (263967), TN","$688,000",2025-11-18,N/A
"124 STEEPLECHASE LN, Unincorporated (000), TN","$101,000",2025-11-14,N/A
"7403 BLACK FOX DR, Fairview (255), TN","$16,000",2025-11-19,N/A
"4009 O'HALLORN DR, Spring Hill (701), TN","$2,000",2025-11-12,N/A
"3400 MCGEE CV, Spring Hill (701), TN","$319,000",2025-11-24,N/A
"2003 LEXINGTON FARMS LN, Spring Hill (701), TN","$77,000",2025-11-18,N/A
"BOONE ST, Fairview (255), TN",N/A,2025-11-25,N/A
"7135 PEPPER TREE CIR, Fairview (255), TN","$40,000",2025-12-03,N/A
"2909 HADDOX PL, Spring Hill (701), TN","$34,000",2025-11-14,N/A
"4730 BENNETT HOLLOW RD, Unincorporated (000), TN",N/A,2025-10-07,N/A
"7146 WILLOW CT, Brentwood (086), TN","$239,000",2025-10-24,N/A
"4812 TORQUAY CT, Unincorporated (000), TN","$1,003,000",2025-10-16,N/A
"1128 HIBISCUS LN, Nolensville (535), TN","$6,000",2025-10-20,N/A
"112 CRESTFIELD PL, Franklin (263967), TN","$330,000",2025-10-16,N/A
"305 MEADOWLAWN DR, Franklin (263264), TN","$1,000",2025-10-16,N/A
"1095 MOUNTAIN VIEW PVT DR, Spring Hill (701), TN",N/A,2025-11-14,N/A
"8900 PALMER PVT WAY, Brentwood (086), TN",N/A,2025-10-29,N/A
"1089 MOUNTAIN VIEW PVT DR, Spring Hill (701), TN",N/A,2025-11-19,N/A
"1868 TRADITIONS CIR, Brentwood (086), TN","$64,000",2025-10-17,N/A
